species,text,url
Hylephila phyleus,"The fiery skipper (Hylephila phyleus) is a species of butterfly in the family Hesperiidae. Reaching approximately 1 inch (2.5 cm) in length, male fiery skippers are orange or yellow while the females are dark brown. Small brown spots may be observed on both the hindwing and forewing of both sexes although to a varying degree. Females may be darker brown overall with pale checkered markings on the hindwing. Fiery skipper larvae, or caterpillars, are greenish pink-grey with a black head and constricted neck. These larvae are often considered pests and can feed on Bermudagrass, creeping bentgrass, and St. Augustine grass. Phylogenetic and genetic analysis of the fiery skipper revealed three haplotypes (HphH1, HphH26, and HphH31) to be shared in roughly 64.1% of all sampled individuals. Due to this high percentage, these haplotypes likely serve as central haplotypes from which different variations via mutations occurred. Haplotypes HphH22 and HphH23 were found in addition to HphH1, HphH26, and HphH31 to occur in species across all continents with certain haplotypes being prominent in different regions. More variation in haplotype may be observed in South America, suggesting populations may be larger and contain more diversity when compared to those of North America.",https://en.wikipedia.org/wiki/Fiery_skipper
Limenitis arthemis,"Limenitis arthemis is described to be beautiful and highly active. The butterfly species themselves can be divided into two major groups simply from one main characteristic, the white band on the upper wings. However, besides the look of the butterfly, L. arthemis are in constant motion. Their flights are short in duration and at low altitudes, flying only about 2 to 3 feet off the ground. When not in flight, L. arthemis are constantly walking over leaves and folding their wings. They enjoy the sun as many are found to be resting at the highest points on trees. During the short period they are at rest, L. arthemis keep their wings closed, body at a 45 degree angle upwards, and antennae straight forward. The two sexes of this species are identical except that the females are slightly larger than the males. The upperside of L. a. arthemis is mostly blackish-blue with white postmedian bands across both wings. Some individuals have a row of red submarginal spots, while others have this area being blue. The underside of the wings is a blackish color with a broad white post-median band. The basal area of both wings contains many red spots. The submarginal area may contain a row of red spots and the marginal area having bluish spots. However, sometimes the submarginal and marginal areas are just a reddish-brown color. The upperside of L. a. astyanax is very much like L. a. arthemis except it lacks the broad white bands. The forewing submarginal area will sometimes have a row of red spots. The hindwings are either a bright iridescent blue or an iridescent bluish-green. The underside of the wings lacks the white band. The basal area has several red spots. It has a row of red submarginal spots and bluish marginal spots.",https://en.wikipedia.org/wiki/Limenitis_arthemis
Phyciodes tharos,"The pearl crescent (Phyciodes tharos) is a species of butterfly from North America. It is found in all parts of the United States except the west coast, and throughout Mexico and parts of southern Canada, in particular Ontario. Its habitat is open areas such as pastures, road edges, vacant lots, fields, open pine woods. Its pattern is quite variable. Males usually have black antenna knobs. Its upper side is orange with black borders; postmedian and submarginal areas are crossed by fine black marks. The underside of the hindwing has a dark marginal patch containing a light-colored crescent. The wingspan is from 21 to 34 mm. The species has several broods throughout the year, from April–November in the north, and throughout the year in the deep south and Mexico. Adults find nectar from a great variety of flowers including dogbane, swamp milkweed, shepherd's needle, asters, and winter cress. Males patrol open areas for females. The eggs are laid in small batches on the underside of host plant leaves of aster species (family Asteraceae). Caterpillars eat the leaves and are gregarious when young. Hibernation is by third-stage caterpillars.",https://en.wikipedia.org/wiki/Pearl_crescent
Junonia coenia,"Junonia coenia, known as the common buckeye or buckeye, is a butterfly in the family Nymphalidae. It is found as a resident or vagrant across much of North America and Central America, as well as in parts of northern South America. This includes most of the eastern half of the US, the lower to middle Midwest, the Southwest (including most of California), southern Canada, and Mexico. Its habitat includes fields, dunes and scrub, typically in sunny environments up to 1,300 meters (4,300 ft) in altitude. It can be found in open areas with low vegetation and some bare ground. Its original ancestry has been traced to Africa, which then experienced divergence in Asia. The species Junonia grisea, the gray buckeye, is found west of the Rocky Mountains and was formerly a subspecies of Junonia coenia. Caterpillars of these butterflies appear to prefer plants that produce iridoid glycosides, which are bitter compounds that release a hormone called gastrin that activates the digestive system (i.e. hunger); therefore, iridoid glycoside producing plants stimulate and attract their appetites particularly when found in plants like Plantago lanceolata. In fact, the presence of these metabolites may trigger oviposition behaviors in female butterflies so that descendant larval bodies may better incorporate iridoid glycosides. Iridoid glycolyside metabolites appear to have a growth-stimulating effect on caterpillars but a growth-reducing effect on predators. Predators like ants, wasps, birds, and small animals prefer to feed on iridoid glycoside poor caterpillars rather than iridoid glycoside rich larvae, potentially due to these effects. Therefore, immunity of J. coenia larvae to predators like ants appears to be strongly related to the concentration of iridoid glycosides sequestered in their bodies. However, too much iridoid glycosides in the diet can negatively affect the immune response of these larvae and lead to increased susceptibility to parasitism. Adult butterflies feed on flowers with certain pollinator cues: yellow flowers that are ""pre-change"", or flowers whose color has not been changed due to insect visitation or other factors. Common buckeye caterpillars feed in isolation rather than relying upon grouping behaviors. Vulnerability to the Junonia coenia densovirus is another concern for survivorship of common buckeye larvae.",https://en.wikipedia.org/wiki/Junonia_coenia
Noctua pronuba,"A. pronuba, L. 48-56 mm. Antennae in male ciliated. Forewings ochreous-brown to dark fuscous, sometimes reddish tinged, sometimes partly irrorated with grey-whitish, especially towards costa anteriorly; lines often paler, dark-edged, sometimes faint, subterminal preceded on costa by a blackish mark orbicular and reniform more or less pale-edged, outlined with darker, reniform partly marked with dark grey. Hindwings ochreous-orange; a blackish terminal band. Larva pale green to dull brown; dorsal line pale; subdorsal series of blackish longitudinal marks on 5-12; a pale line beneath these; subspiracular pale; head light brown, dark-marked. See Noctua orbona, the lunar yellow underwing and Noctua comes, lesser yellow underwing for differences between these species and pronuba. ^ The flight season refers to the British Isles. This may vary in other parts of the range.",https://en.wikipedia.org/wiki/Large_yellow_underwing
Maniola jurtina,"There is marked sexual dimorphism in this species. The upperside of the male is uniformly light brown with a black ocellus centered white at the apex of the forewing, while the female has a tawny patch more or less extended around this ocella. The underside forewing is ochre-colored bordered with dark beige with the same ocelli at the apex in the male, while the hindwing is greyish to brown with a more or less orange band in the female. The males are also much more active and range far about, while females fly less and often may not move away from the area where they grew up.",https://en.wikipedia.org/wiki/Meadow_brown
Pyrrharctia isabella,"The thirteen-segment larvae are usually covered with brown hair in their mid-regions and black hair in their anterior and posterior areas. In direct sunlight, the brown hair looks bright reddish brown. The setae are uniform in length, unlike in other tiger moth larvae with similar appearance. Adults are generally dull yellowish through orangish and have robust, scaly thoraces; small heads; and bright reddish-orange forelegs. Wings have sparse black spotting. Each abdominal segment bears three black dots. The Isabella tiger moth can be found in many cold and temperate regions. The banded woolly bear larva emerges from the egg in the fall and overwinters in its caterpillar form, by allowing most of its mass to freeze solid. First its heart stops beating, then its gut freezes, then its blood, followed by the rest of the body. It survives being frozen by producing a cryoprotectant in its tissues. This freezing occurs outside of body cells, but not within. In the spring, it thaws. Larval setae do not inject venom and are not urticant; they do not typically cause irritation, injury, inflammation, or swelling. Handling larvae is discouraged, however, because their sharp, spiny hairs may cause dermatitis in some people.",https://en.wikipedia.org/wiki/Pyrrharctia_isabella
Epargyreus clarus,"Epargyreus clarus, the silver-spotted skipper, is a butterfly of the family Hesperiidae. It is claimed to be the most recognized skipper in North America. E. clarus occurs in fields, gardens, and at forest edges and ranges from southern Canada throughout most of the United States to northern Mexico, but is absent in the Great Basin and western Texas. E. clarus larvae create and reside in unique shelters stuck together with silk, which do not protect them from predators. Natural predators of the species include paper wasp foragers, sphecid wasp and Crematogaster opuntiae ants. The species is also considered to be a perching species, meaning that adult males compete for territory to attract females. Although E. clarus is considered to be a pest of a few crop plants such as beans, its pest activity is not serious enough to warrant initiating major control measures.",https://en.wikipedia.org/wiki/Epargyreus_clarus
Nymphalis antiopa,"Nymphalis antiopa, known as the mourning cloak in North America and the Camberwell beauty in Britain, is a large butterfly native to Eurasia and North America. The immature form of this species is sometimes known as the spiny elm caterpillar. Other older names for this species include grand surprise and white petticoat. A powerful flier, this species is sometimes found in areas far from its usual range during migration. These butterflies have a lifespan of 11 to 12 months, one of the longest lifespans for any butterfly. It is the state insect of the U.S. state of Montana, adopted in 2001.",https://en.wikipedia.org/wiki/Nymphalis_antiopa
Battus philenor,"Battus philenor, the pipevine swallowtail or blue swallowtail, is a swallowtail butterfly found in North America and Central America. This butterfly is black with iridescent-blue hindwings. They are found in many different habitats, but are most commonly found in forests. Caterpillars are often black or red, and feed on compatible plants of the genus Aristolochia. They are known for sequestering acids from the plants they feed on in order to defend themselves from predators by being poisonous when consumed. The adults feed on the nectar of a variety of flowers. Some species of Aristolochia are toxic to the larvae, typically tropical varieties. While enthusiasts have led citizen efforts to conserve pipevine swallowtails in their neighborhoods on the West coast, the butterfly has not been the subject of a formal program in conservation or protected in legislation. The butterfly is however of ""Special Concern"" in Michigan, which is on the Northern limit of its range.",https://en.wikipedia.org/wiki/Battus_philenor
Strymon melinus,"The adult gray hairstreak has a wingspan of 20–32 millimetres (0.79–1.26 in). The upper sides of the wings are gray with an orange spot on the hind margin. The underside of the wings are a lighter gray with white and black lines and orange and blue marginal spots near the hind-wings' tail-like extensions. These extensions twitch while at rest, and may imitate a separate head to encourage predators to go for the wings, potentially allowing the insect to survive. Caterpillars are green with markings on the sides, covered in short yellow hairs. Like other caterpillars in the Lycaenidae family, S. melinus are attended by ants in a behavior known as myrmecophily.",https://en.wikipedia.org/wiki/Gray_hairstreak
Aglais urticae,"It is a medium-sized butterfly that is mainly reddish orange, with black and yellow markings on the forewings as well as a ring of blue spots around the edge of the wings. It has a wingspan ranging from 4.5 to 6.2 cm.",https://en.wikipedia.org/wiki/Small_tortoiseshell
Atalopedes huron,Wingspan is 1 to 1+1⁄2 inches (2.5 to 3.8 cm). The males are tawny orange with wide dark borders with prominent wide black stigma on the dorsal view of their wings. Hingwings have dark veins. Females are dark with orange forewing edges; two glassy (hyaline) spots near the center and smaller spots near tip. Ventrally the wings are yellow brown with faint hindwing chevron patterns that frame a yellow brown spot in middle of the hindwing bottom edge. Females are muddier and more olive with the chevron pattern more pronounced.,https://en.wikipedia.org/wiki/Atalopedes_huron
Lymantria dispar,"Lymantria dispar, also known as the gypsy moth or the spongy moth, is a species of moth in the family Erebidae native to Europe and Asia. Lymantria dispar is subdivided into several subspecies, with subspecies such as L. d. dispar and L. d. japonica being clearly identifiable without ambiguity. Lymantria dispar has been introduced to several continents and is now additionally found as an invasive species in Africa, North America and South America. The polyphagous larvae live on a variety of deciduous and coniferous trees and can cause severe damage in years of mass reproduction. Due to these features, Lymantria dispar is listed among the world's 100 worst invasive alien species.",https://en.wikipedia.org/wiki/Lymantria_dispar
Pieris napi,"A circumboreal species widespread across Europe and Asia, including the Indian subcontinent, Japan, the Maghreb and North America. It is found in meadows, hedgerows and woodland glades but not as often in gardens and parks like its close relatives the large and small whites, for which it is often mistaken. Like other ""white"" butterflies, the sexes differ. The female has two spots on each forewing, the male only one. The veins on the wings of the female are usually more heavily marked. The underside hindwings are pale yellow with the veins highlighted by black scales giving a greenish tint, hence green-veined white. Unlike the large and small whites, it rarely chooses garden cabbages to lay its eggs on, preferring wild crucifers. Males emit a sex pheromone that is perceptible to humans, citral, the basic flavor-imparting component of lemon peel oil. Some authors consider the mustard white and West Virginia white of North America to be conspecific with P. napi or consider P. napi to be a superspecies. Despite this, the American butterflies, unlike P. napi, cannot successfully use garlic mustard as a host plant. Females will lay eggs on it, mistaking this non-native species for a compatible native mustard, resulting in the death of the offspring. Classification is also an issue concerning the European dark-veined white.",https://en.wikipedia.org/wiki/Green-veined_white
Polygonia c-album,"The outer margins of the wings are strongly and irregularly dentate, excavated and angulated. The upper side of the wings has a bright orange color, decorated with brown marks and light spots on the edge. The reverse is marbled with brown. Folded, the butterfly looks like a dead leaf. The hindwings have on the reverse side a white spot usually in the shape of a comma. The sexual dimorphism is slight and concerns the intensity of the coloration, the silhouette and the size, the male having a wingspan of 22 to 24 mm. and the female of 25 to 26 mm. The seasonal dimorphism is more marked: the first generation ( hutchinsoni form, named for Emma Hutchinson, May-June) has the upperside fawn orange and the underside brown-gold and the hindwing bears distally a broad dark red-brown area in which is situated a row of light brown hastate spots. The underside is dark, being either unicolorous or prominently marmorated, while the second generation (form c-album (July, in autumn and spring after overwintering) has a more red upper and dark brown underside (ground-colour is less bright). In the summer form the wings are less dentate, and the hindwing has a narrow dark submarginal band, near which stands a row of light lunules proximally bordered by a band of brown arcs. The underside is of a paler color, being less distinctly — sometimes, however, very prominently — marmorated and shaded.",https://en.wikipedia.org/wiki/Polygonia_c-album
Hyles lineata,"Hyles lineata, also known as the white-lined sphinx, is a moth of the family Sphingidae. They are sometimes known as a ""hummingbird moth"" because of their bird-like size (2–3 inch wingspan) and flight patterns. As caterpillars, they have a wide range of color phenotypes but show consistent adult coloration. With a wide geographic range throughout Central and North America, H. lineata is known to feed on many different host plants as caterpillars and pollinate a variety of flowers as adults. Larvae are powerful eaters and are known to form massive groupings capable of damaging crops and gardens. As adults, they use both visual and olfactory perception to locate plants from which they collect nectar.",https://en.wikipedia.org/wiki/Hyles_lineata
Antheraea polyphemus,"Antheraea polyphemus, the Polyphemus moth, is a North American member of the family Saturniidae, the giant silk moths. It is a tan-colored moth, with an average wingspan of 15 cm (6 in). The most noticeable feature of the moth is the large, purplish eyespot on each hindwing; its name is from the Greek myth of the cyclops Polyphemus. The species, first described by Pieter Cramer in 1776, is widespread in continental North America, with local populations found throughout subarctic Canada and in all of the United States except Arizona and Nevada. Polyphemus moths inhabit deciduous hardwood forests, orchards, urban areas, and wetlands. The caterpillar can eat a total of 86,000 times its weight in the first eight weeks after it emerges. Polyphemus moths are considered to be very polyphagous, meaning they eat from a wide variety of plants.",https://en.wikipedia.org/wiki/Antheraea_polyphemus
Estigmene acrea,"The head and thorax are white, and the abdomen is yellow orange with a row of black spots. The forewing is white with a variable pattern of black spots, with some individuals lacking any spots. The hindwing is yellow orange in males and white in females. Both sexes have three or four black spots or blotches on the hindwings. The wingspan measures 4.5 to 6.8 cm (1.8 to 2.7 in).",https://en.wikipedia.org/wiki/Estigmene_acrea
Hyphantria cunea,"The fall webworm (Hyphantria cunea) is a moth in the family Erebidae known principally for its larval stage, which creates the characteristic webbed nests on the tree limbs of a wide variety of hardwoods in the late summer and fall. It is considered a pest but does not harm otherwise healthy trees. It is well known to commercial tree services and arboriculturists. Fall webworms are an invasive species in East Asia.",https://en.wikipedia.org/wiki/Fall_webworm
Vanessa virginiensis,"Vanessa virginiensis is most easily distinguishable by its two large eyespots on the ventral side, whereas V. cardui has four small eyespots and V. annabella has none. V. virginiensis also uniquely features a white dot within the forewing subapical field, set in pink on the underside and usually also in the dorsal side's orange field. The largest spot in the black forewing tips is white in V. cardui, pale orange in this species, and orange in the West Coast species. The latter also has a purer orange background color of the dorsal side, as opposed to the darker and (especially in V. virginiensis) redder hue of the other two. A less reliable indicator is the row of black eyespots on the dorsal submarginal hindwing. In the American painted lady, those on the opposite ends of the row are often larger and have blue ""pupils"". In V. annabella, this applies to the inner two spots, while in V. cardui some of the black eyespots may have tiny blue pupils in the summer morph, but usually have none at all, and the eyespots themselves are all roughly the same size. The size of the wings are about 5 cm (2 in) across.",https://en.wikipedia.org/wiki/American_lady
Danaus gilippus,"The queen butterfly (Danaus gilippus) is a North and South American butterfly in the family Nymphalidae with a wingspan of 80–85 mm (3+1⁄8–3+3⁄8 in). It is orange or brown with black wing borders and small white forewing spots on its dorsal wing surface, and reddish ventral wing surface fairly similar to the dorsal surface. The ventral hindwings have black veins and small white spots in a black border. The male has a black androconial scent patch on its dorsal hindwings. It can be found in meadows, fields, marshes, deserts, and at the edges of forests. This species is possibly a close relative to the similarly colored soldier butterfly (or tropical queen, D. eresimus), in any case, it is not close to the plain tiger (D. chrysippus, African queen) as was long believed. There are seven subspecies. Females lay one egg at a time on larval host plants. Larvae use these plants as a food source, whereas adult butterflies feed mainly on nectar from flowers. Unpalatability to avian predators is a feature of the butterfly; however, its level is highly variable. Unpalatability is correlated with the level of cardenolides obtained via the larval diet, but other compounds like alkaloids also play a part in promoting distastefulness. Males patrol to search for females, who may mate up to 15 times a day. Male organs called hair-pencils play an important role in courtship, with males with lower hair-pencil counts being selected against. These hair-pencils may be involved in releasing pheromones during courtship that could attract female mates.",https://en.wikipedia.org/wiki/Queen_(butterfly)
Lycaena phlaeas,"The upperside forewings are a bright orange with a dark outside edge border and with eight or nine black spots. The hindwings are dark with an orange border. Some females also have a row of blue spots inside the orange border and are known as form caeruleopunctata. The undersides are patterned in a similar way but are paler. The black spots on the forewings are outlined in yellow and the dark colouring is replaced by a pale brownish grey. The hindwings are the same brown/grey colour with small black dots and a narrow orange border. The caterpillars (larvae) are usually green, but some have a purple stripe down the middle of the back and along each side.",https://en.wikipedia.org/wiki/Lycaena_phlaeas
Spilosoma virginica,"The adult moth tends to tent its wings over its back, rather than sitting with them spread. It is white with a darker-colored abdomen, but without the obvious, darker eyes of its close cousin the agreeable tiger moth. It is not poisonous, but some people may have an allergic reaction to the bristles on its body.",https://en.wikipedia.org/wiki/Spilosoma_virginica
Colias eurytheme,"Colias eurytheme, the orange sulphur, also known as the alfalfa butterfly and in its larval stage as the alfalfa caterpillar, is a butterfly of the family Pieridae, where it belongs to the lowland group of ""clouded yellows and sulphurs"" subfamily Coliadinae. It is found throughout North America from southern Canada to Mexico. Other members of this lineage including the common or clouded sulphur (C. philodice) and C. eriphyle and C. vitabunda, which are often included in C. philodice as subspecies. Hybridization runs rampant between these, making phylogenetic analyses exclusively utilizing one type of data (especially mtDNA sequences) unreliable. Therefore, little more can be said about its relationships, except that it is perhaps closer to C. (p.) eriphyle than generally assumed, strengthening the view that the latter should be considered a valid species. The orange sulphur's caterpillars feed off various species in the pea family (Fabaceae) and are usually only found feeding at night. Occasionally this species multiplies to high numbers, and can become a serious pest to alfalfa (Medicago sativa) crops. The parasitoid wasp, Cotesia medicaginis can be used as a biocontrol agent against the caterpillars.",https://en.wikipedia.org/wiki/Colias_eurytheme
Cupido comyntas,"Males are blue on the upperside of their wings while females are lighter blue to brown or charcoal in coloring, but there are also varieties of purple and pink found in both sexes. The underside coloration ranges from bluish white to tan. There are two or three (outermost one often faint) black to orange chevron-shaped spots on the rear of the hindwings and a trailing tail off the innermost of the spots. The butterfly is 21 to 29 mm (0.83 to 1.14 in) wide with wings outstretched and slightly shorter in length. Eastern tailed-blue larvae feed on various legumes and are known to secrete a substance which is favored by some ant species. The ant in turn protects the larva of the butterfly from other predators.",https://en.wikipedia.org/wiki/Eastern_tailed-blue
Actias luna,"Eggs, attached in small groups to undersides of leaves, are mottled white and brown, slightly oval, and roughly 1.5 millimeters in diameter. Larvae are primarily green, with sparse hairs. The first instar, emerging from the egg, reaches a length of 6–8 mm (0.24–0.31 in), the second 9–10 mm (0.35–0.39 in), the third 12–16 mm (0.47–0.63 in) and the fourth 23–26 mm (0.91–1.02 in). The fifth (final) instar grows to approximately 70–90 mm (2.8–3.5 in) in length. Small, colorful dots – yellow or magenta – may line the sides of the fourth and fifth instars. The larvae may take on a reddish-brown color just prior to cocooning. Fifth-instar larvae descend to the ground and use silk to bind dead leaves around the cocoon. The imagoes (winged, sexually mature), often referred to as adult moths, emerge from the pupae with the wings small, crumpled and held close to the body. Over several hours the wings will enlarge to full size. Wingspan is typically 8–11.5 cm (3.1–4.5 in), and in rare instances as much as 17.78 cm (7.00 in). Females and males are similar in size and appearance: green wings, eyespots on both forewings and hind wings, and long, sometimes somewhat twisted tails extending from the back edge of the hindwings. Bodies are white and hairy. Adults have vestigial mouthparts and do not feed. Energy is from fat stores created while a caterpillar. The forward edge of the forewing is dark-colored and thick, tapering in thickness from the thorax to the wing tip. Its color can range from maroon to brown. The eyespots, one per wing, are oval in shape on the forewings and round on the hindwings. Each eyespot can have arcs of black, blue, red, yellow, green or white. The eyespots are thought to confuse potential predators. There are some sex-determined and regional differences in appearance. Females will have a larger abdomen compared to males because it contains 200–400 eggs. Both sexes have antennae, but on the male, much longer and wider. Wing color is blue-green in the north and for the overwintering generation in the central and southern states; second and third generation wing color has more of a yellow-green tint.",https://en.wikipedia.org/wiki/Luna_moth
